sku,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visibility,price,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,qty,is_in_stock,website_id,additional_images,additional_image_labels,njm_sku,njm_name,dimensions
zm-001201,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Bedroom,Default Category/Modern Furniture/Modern Case Goods",base,Alabama double dresser,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. Six drawers with step profile recesses allow for easy opening and closing, while the iron-feet add a retro feature to the Alabama double dresser.",148,1,Taxable Goods,"Catalog, Search",1899,/2/9/29z-100587.jpg,,/2/9/29z-100587.jpg,,/2/9/29z-100587.jpg,,1000,1,0,"/1/0/100587-2-650x650.jpg,/1/0/100587-3-650x650.jpg,/2/9/29z-100587.jpg,/1/0/100587-4-650x650.jpg,/1/0/100587-5-650x650.jpg,/1/0/100587-6-650x650.jpg",,29Z-100587,norwood double dresser,"W55.1 x H31.5 x L17.7"""
zm-001199,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Bedroom,Default Category/Modern Furniture/Modern Case Goods,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Side Tables",base,Alabama end table,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. Two drawers with step profile recesses allow for easy opening and closing, while the iron-feet add a retro feature to the Alabama end table.",43,1,Taxable Goods,"Catalog, Search",559,/2/9/29z-100585.jpg,,/2/9/29z-100585.jpg,,/2/9/29z-100585.jpg,,1000,1,0,"/1/0/100585-2-650x650.jpg,/1/0/100585-3-650x650.jpg,/2/9/29z-100585.jpg,/1/0/100585-4-650x650.jpg,/1/0/100585-7-650x650.jpg",,29Z-100585,norwood end table,"W21.7 x H19.7 x L16.5"""
zm-001202,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Dining Tables",base,Alabama extension dining table,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. The Alabama extension dining table offers the ultimate in versatility for entertaining small to large groups of guests, by adding additional surface area with its pocket butterfly extension mechanism.",160,1,Taxable Goods,"Catalog, Search",1599,/2/9/29z-100588.jpg,,/2/9/29z-100588.jpg,,/2/9/29z-100588.jpg,,1000,1,0,"/1/0/100588-6-650x650.jpg,/1/0/100588-2-650x650.jpg,/2/9/29z-100588.jpg,/1/0/100588-7-650x650.jpg,/1/0/100588-12-650x650.jpg,/1/0/100588-9-650x650.jpg,/1/0/100588-14-650x650.jpg",,29Z-100588,norwood extension dining table,"W74.8 x H29.9 x L39.4"""
zm-001200,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Bedroom,Default Category/Modern Furniture/Modern Case Goods",base,Alabama high chest,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. Four drawers with step profile recesses allow for easy opening and closing, while the iron-feet add a retro feature to the Alabama high chest.",120,1,Taxable Goods,"Catalog, Search",1659,/2/9/29z-100586.jpg,,/2/9/29z-100586.jpg,,/2/9/29z-100586.jpg,,1000,1,0,"/1/0/100586-2-650x650.jpg,/2/9/29z-100586.jpg,/1/0/100586-4-650x650.jpg,/1/0/100586-5-650x650.jpg,/1/0/100586-3-650x650.jpg",,29Z-100586,norwood high chest,"W35.4 x H44.5 x L17.7"""
zm-001198,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Bedroom",base,Alabama platform bed,A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. The Alabama platform bed's broad plank headboard complements its iron-feet to offer designer looks for your sleeping space.,165,1,Taxable Goods,"Catalog, Search",1599,/2/9/29z-100583.jpg,,/2/9/29z-100583.jpg,,/2/9/29z-100583.jpg,,1000,1,0,"/1/0/100583-2-650x650.jpg,/1/0/100583-3-650x650.jpg,/2/9/29z-100583.jpg,/1/0/100583-4-650x650.jpg,/1/0/100584-1-650x650.jpg,/1/0/100584-3-650x650.jpg,/1/0/100584-4-650x650.jpg",,29Z-100583,norwood platform bed,"Queen: W63.4 x H45.3 x L86.2""
<br />King: W79.5 x H45.3 x L86.2"""
mf-000490,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Albany dining chair,"<p>This is our reproduction prouve standard chair. Chairs take the most strain on their back legs, where they bear the weight of their users upper body. Prouve took this into account very succinctly in Standard Chair. Tubular steel piping is enough for the front legs that take relatively little strain, whereas the back legs are made of voluminous hollow sections and pass the strain on to the floor.</p>
<p>Reminiscent of a 1950's school chair, this curious chair is both a delight from a design perspective and its practical function. A mid-century design that is both classic and modern, comfortable and simple. Natural hardwood back and seat. Powder-coated steel frame and wood seat. The seat can also be finished in leather or fabric with a cushioned seat lending a more finished look and added comfort.</p>",30,1,Taxable Goods,"Catalog, Search",269,/c/h/ch8307---pic2_3.jpg,,/c/h/ch8307---pic2_3.jpg,,/c/h/ch8307---pic2_3.jpg,,1000,1,0,"/c/h/ch8307---pic2.jpg,/c/h/ch8307_-_pic1.jpg,/r/e/replica-jean-prouve-standard-chair-_15_.jpg,/r/e/replica-jean-prouve-standard-chair-_3_.jpg,/c/h/ch8307---pic2_2.jpg,/c/h/ch8307---pic2_3.jpg",,16M-EEI-214,prouve standard chair,"16.5""L x 19""W x 32""H
<br />Seat Height: 18.5""H"
cs-000164,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Albany director armchair - black,"Our replica prouve bridge director armchair is crafted from a thickly padded seat and back covered with smooth, black polyurethane leatherette. Its legs and arms are stainless steel finished in black, and solid walnut hardwood details the floating armrests. This eye-catching chair will work equally well in modern office or home seating areas.",15.4,1,Taxable Goods,"Catalog, Search",649,/f/x/fx852black-myson-arm-chair-_1_2.jpg,,/f/x/fx852black-myson-arm-chair-_1_2.jpg,,/f/x/fx852black-myson-arm-chair-_1_2.jpg,,1000,1,0,"/f/x/fx852blk_1-myson-arm-chair-.jpg,/f/x/fx852blk-4-myson-arm-chair-.jpg,/f/x/fx852blk_3-myson-arm-chair-.jpg,/f/x/fx852blk_2-myson-arm-chair-.jpg,/f/x/fx852black-myson-arm-chair-_1_2.jpg",,03C-S-FX852BLAC,prouve bridge director armchair - black,"33""H x 25.25""W x 26.4""D <br />Seat Height: 17.5"""
wi-001090,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Albany director armchair - white,"<p>A fusion of varying materials makes our replica prouve bridge director chair a modern work of art. This stunner features a black steel frame, white faux leather, and ash wood armrests. Non-marking feet and foam cushions finish it off. We love this piece not only as a living room chair but as a waiting room chair and office chair. The director chair is fully assembled and should be wiped clean with a damp cloth.</p>
<p>Features:</p>
<ul>
<li>Mid-century modern accent chair</li>
<li>Black steel frame</li>
<li>White faux leather</li>
<li>Wooden armrests made of ash</li>
<li>Polyurethane foam cushioning</li>
<li>Fully assembled</li>
<li>Wipe clean with a damp cloth</li>
</ul>",30,1,Taxable Goods,"Catalog, Search",549,/2/7/27w-dc-852-prouve_uph_1.jpg,,/2/7/27w-dc-852-prouve_uph_1.jpg,,/2/7/27w-dc-852-prouve_uph_1.jpg,,1000,1,0,"/p/r/prouve_up2.jpeg,/p/r/prouve_up3.jpeg,/2/7/27w-dc-852-prouve_uph.jpg,/2/7/27w-dc-852-prouve_uph_1.jpg",,27W-DC-852,prouve bridge director armchair - white,"25.12""W x 24.37""D x 32""H <br />Seat dimension: 19.5""W x 20""D x 18.87""H <br />Arm height: 26.1"" <br />Shipping <br />Package: 33""W x 26""H x 26""D --- 27Lbs</p>"
cs-000165,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair,Default Category/Modern Furniture/Classic Chairs/Lounge Chair",base,Albany lounge chair - black,"This is our reproduction Prouve Fauteuil de Salon lounge chair which combines plain surfaces into a complete architectural form with a comfortable seat and backrest. Thanks to the armrests in solid wood and Prouve's typical philosophy of focusing on design factors, Fauteuil de Salon goes perfectly with other products in the Prouve Replica Collection. <p>Our replica Prouve chair is upholstered in black vinyl with steel and walnut frame and armrests.",50,1,Taxable Goods,"Catalog, Search",769,/p/r/prouve_lounge_2.jpg,,/p/r/prouve_lounge_2.jpg,,/p/r/prouve_lounge_2.jpg,,1000,1,0,"/p/r/prouve_lounge.jpg,/p/r/prouve_lounge2.jpg,/p/r/prouve_lounge3.jpg,/p/r/prouve_lounge4.jpg,/p/r/prouve_lounge_1.jpg,/p/r/prouve_lounge_2.jpg",,03C-S-FX88601-B,prouve fauteuil de salon lounge chair - black,"35.50""H x 34.25""W x 31.10""D Seat Height: 16"
cs-000166,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair,Default Category/Modern Furniture/Classic Chairs/Lounge Chair",base,Albany lounge chair - sand,"This is our reproduction Prouve Fauteuil de Salon lounge chair which combines plain surfaces into a complete architectural form with a comfortable seat and backrest. Thanks to the armrests in solid wood and Prouve's typical philosophy of focusing on design factors, Fauteuil de Salon goes perfectly with other products in the Prouve Replica Collection. <p>Our replica Prouve chair is upholstered in sand tweed with steel and walnut and armrests.",50,1,Taxable Goods,"Catalog, Search",769,/p/r/prouve_lounge7_2.jpg,,/p/r/prouve_lounge7_2.jpg,,/p/r/prouve_lounge7_2.jpg,,1000,1,0,"/p/r/prouve_lounge7.jpg,/p/r/prouve_lounge8.jpg,/p/r/prouve_lounge7_1.jpg,/p/r/prouve_lounge7_2.jpg",,03C-S-FX88601-S,prouve fauteuil de salon lounge chair - sand,"35.50""H x 34.25""W x 31.10""D Seat Height: 16"
cs-000167,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair,Default Category/Modern Furniture/Classic Chairs/Lounge Chair",base,Albany lounge chair - white,"<p>This is our reproduction Prouve Fauteuil de Salon lounge chair which combines plain surfaces into a complete architectural form with a comfortable seat and backrest. Thanks to the armrests in solid wood and Prouve's typical philosophy of focusing on design factors, Fauteuil de Salon goes perfectly with other products in the Prouve Replica Collection. <p>Our replica Prouve chair is upholstered in white vinyl with steel and frame and ebonized armrests.</p>",50,1,Taxable Goods,"Catalog, Search",769,/p/r/prouve_lounge9_2.jpg,,/p/r/prouve_lounge9_2.jpg,,/p/r/prouve_lounge9_2.jpg,,1000,1,0,"/p/r/prouve_lounge9.jpg,/p/r/prouve_lounge10.jpg,/p/r/prouve_lounge9_1.jpg,/p/r/prouve_lounge9_2.jpg",,03C-S-FX88601-W,prouve fauteuil de salon lounge chair - white,"35.50""H x 34.25""W x 31.10""D Seat Height: 16"
cs-000170,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Albany padded dining chair - beige,"Our prouve-inspired padded standard chair is reminiscent of a 1950's school chair. Its angled lines present a modern-look seating option. The solid frame is welded from industrial power-coated steel, supporting a polyurethane padded seat and back that is upholstered in two neutral color choices. This sturdy chair is suited for either commercial or home use.",13.2,1,Taxable Goods,"Catalog, Search",359,/f/x/fxc595-1-beige-schoolhouse-chair_2.jpg,,/f/x/fxc595-1-beige-schoolhouse-chair_2.jpg,,/f/x/fxc595-1-beige-schoolhouse-chair_2.jpg,,1000,1,0,"/f/x/fxc595-3-beige-schoolhouse-chair.jpg,/f/x/fxc595-2-beige-schoolhouse-chair_1_.jpg,/f/x/fxc595-1-beige-schoolhouse-chair.jpg,/f/x/fxc595-1-beige-schoolhouse-chair_1.jpg,/f/x/fxc595-1-beige-schoolhouse-chair_2.jpg",,03C-S-FXC595BGE,prouve schoolhouse padded chair - beige,"32.5""H x 20""W x 17""D"
cs-000171,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Albany padded dining chair - gray,"Our prouve-inspired padded standard chair is reminiscent of a 1950's school chair. Its angled lines present a modern-look seating option. The solid frame is welded from industrial power-coated steel, supporting a polyurethane padded seat and back that is upholstered in two neutral color choices. This sturdy chair is suited for either commercial or home use.",13.2,1,Taxable Goods,"Catalog, Search",359,/f/x/fx595-1-grey-schoolhouse-chair_2.jpg,,/f/x/fx595-1-grey-schoolhouse-chair_2.jpg,,/f/x/fx595-1-grey-schoolhouse-chair_2.jpg,,1000,1,0,"/f/x/fx595-2-grey-schoolhouse-chair_1_.jpg,/f/x/fx595-3-grey-schoolhouse-chair.jpg,/f/x/fx595-1-grey-schoolhouse-chair.jpg,/f/x/fx595-1-grey-schoolhouse-chair_1.jpg,/f/x/fx595-1-grey-schoolhouse-chair_2.jpg",,03C-S-FXC595GRE,prouve schoolhouse padded chair - grey,"32.5""H x 20""W x 17""D"
mf-000365,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",base,Albany stool - natural,"Inspired by the prouve standard chair, this modern counter stool combines a molded bentwood back and waterfall seat, with a fluid form that imbues both an airy and streamlined feel. Its powder coated metal frame is solidly constructed to service your needs time and again from light refreshments, through extended dialogues. ",21,1,Taxable Goods,"Catalog, Search",299,/p/r/prouve-eei-1063-nat-blk_3.jpg,,/p/r/prouve-eei-1063-nat-blk_3.jpg,,/p/r/prouve-eei-1063-nat-blk_3.jpg,,1000,1,0,"/p/r/prouve-eei-1063-nat-blk.jpg,/e/e/eei-1063-nat-blk_2_.jpg,/e/e/eei-1063-nat-blk_3_.jpg,/p/r/prouve-eei-1063-nat-blk_1.jpg,/p/r/prouve-eei-1063-nat-blk_2.jpg,/p/r/prouve-eei-1063-nat-blk_3.jpg",,16M-EEI-1063-N,prouve standard stool - natural,"15.5""L x 16.5""W x 39.5""H <br />Backrest Height: 14.5""H <br />Seat Height: 26.5""H</p>"
mf-000366,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",base,Albany stool - walnut,"Inspired by the prouve standard chair, this modern counter stool combines a molded bentwood back and waterfall seat, with a fluid form that imbues both an airy and streamlined feel. Its powder coated metal frame is solidly constructed to service your needs time and again from light refreshments, through extended dialogues.",21,1,Taxable Goods,"Catalog, Search",299,/p/r/prouve-eei-1063-wal-blk_1__3.jpg,,/p/r/prouve-eei-1063-wal-blk_1__3.jpg,,/p/r/prouve-eei-1063-wal-blk_1__3.jpg,,1000,1,0,"/p/r/prouve-eei-1063-wal-blk_1_.jpg,/e/e/eei-1063-wal-blk_2_.jpg,/e/e/eei-1063-wal-blk_3_.jpg,/p/r/prouve-eei-1063-wal-blk_1__1.jpg,/p/r/prouve-eei-1063-wal-blk_1__2.jpg,/p/r/prouve-eei-1063-wal-blk_1__3.jpg",,16M-EEI-1063-W,prouve standard stool - walnut,"15.5""L x 16.5""W x 39.5""H <br />Backrest Height: 14.5""H <br />Seat Height: 26.5""H</p>"
sbx-000921,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Albany upholstered dining chair,"<p>This is our reproduction upholstered prouve standard chair. Chairs take the most strain on their back legs, where they bear the weight of their users upper body. Prouve took this into account very succinctly in Standard Chair. Tubular steel piping is enough for the front legs that take relatively little strain, whereas the back legs are made of voluminous hollow sections and pass the strain on to the floor.</p>
<p>Reminiscent of a 1950's school chair, this curious chair is both a delight from a design perspective and its practical function. A mid-century design that is both classic and modern, comfortable and simple. Natural hardwood back and seat. Powder-coated steel frame and upholstered seat. The seat can be finished in leather or fabric with a cushioned seat lending a more finished look and added comfort.</p>",30,1,Taxable Goods,"Catalog, Search",549,/d/s/dscn0755_2.jpg,,/d/s/dscn0755_2.jpg,,/d/s/dscn0755_2.jpg,,1000,1,0,"/d/s/dscn0753.jpg,/d/s/dscn0756.jpg,/d/s/dscn0757.jpg,/d/s/dscn0758.jpg,/d/s/dscn0755_2.jpg",,23S-10385,prouve upholstered standard chair,"16.25""W x 20""D x 31.75""H Seat: 16.25""W x 16.5""D x 18.5""H"
sb-000859,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair",base,Albion easy chair,"<p>Our reproduction was inspired by Jean Prouve. Many connoisseurs regard Antony as Prouve's finest design. This chair stands out by virtue of its unconventional construction producing a sturdy yet dynamically curvaceous form. Antony is especially suited for the private sphere, but also finds an appropriate place in waiting areas.</p>",30,1,Taxable Goods,"Catalog, Search",379,/p/r/prouve-antony-a_3.jpg,,/p/r/prouve-antony-a_3.jpg,,/p/r/prouve-antony-a_3.jpg,,1000,1,0,"/p/r/prouve-antony-a.jpg,/p/r/prouve-antony-b.jpg,/p/r/prouve-antony-a_2.jpg,/p/r/prouve-antony-a_3.jpg",,22S-10386,prouve style antony chair,
cs-000200,customOptionsSet,simple,"Default Category/Lighting,Default Category/Lighting/Sconces",base,Alden sconce,"This is our reproduction prouve Potence Lamp sconce. Designed in collaboration with Charlotte Perriand for Prouve's Tropique house, the Potence Lamp (1950) provides a unique solution for suspension lighting with its ingenious engineering and elegant form. Consisting of a single metal rod that extends almost 7 feet from a wall-mounted vertical bracket, there is no base to occupy floor space. Wall lamp. Black powder coated steel tube.",10,1,Taxable Goods,"Catalog, Search",489,/c/l/cl615_3.jpg,,/c/l/cl615_3.jpg,,/c/l/cl615_3.jpg,,1000,1,0,"/c/l/cl615.jpg,/c/l/cl615_2.jpg,/c/l/cl615_3.jpg",,03C-S-LBW012,prouve sconce,"30 1/4""H x 87 1/2""W x 3 1/2""D"
cs-000163,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Alexander chair,"This is our reproduction prouve friso kramer plywood revolt chair, designed by Friso Kramer in 1965. Many aspects of the Revolt were regarded as extremely innovative when it was introduced back in 1953 and it has won a permanent place for itself both in the business world and in Dutch living rooms. Powder coated steel with plywood seat and back.",25,1,Taxable Goods,"Catalog, Search",429,/r/e/revolt2_3.jpg,,/r/e/revolt2_3.jpg,,/r/e/revolt2_3.jpg,,1000,1,0,"/r/e/revolt2.jpg,/r/e/revolt2_2.jpg,/r/e/revolt2_3.jpg",,03C-S-FOC52045,prouve friso kramer plywood revolt chair,"31 1/8""H x 18""W x 18 1/2""D"
